gameID,turn,side,move,error
57380762,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380763,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380764,1,red,A4+5,"Cannot resolve move=A4+5, side=red, candidates=[(9, 5)]"
57380765,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380766,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380767,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380768,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380769,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380770,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380771,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380772,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380773,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380774,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380775,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380776,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380777,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380778,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380779,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380780,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380781,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380782,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380783,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380784,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380785,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380786,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380787,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380788,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380789,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380790,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380791,2,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380792,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380793,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380794,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380795,2,black,a4+5,"Cannot resolve move=a4+5, side=black, candidates=[(0, 3)]"
57380796,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380797,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380798,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380799,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380800,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380801,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380802,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380803,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380804,1,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380805,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380806,2,black,a6+5,"Cannot resolve move=a6+5, side=black, candidates=[(0, 5)]"
57380807,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380808,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380809,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380810,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380811,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380812,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380813,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380814,1,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380815,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380816,1,red,A4+5,"Cannot resolve move=A4+5, side=red, candidates=[(9, 5)]"
57380817,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380818,1,red,A4+5,"Cannot resolve move=A4+5, side=red, candidates=[(9, 5)]"
57380819,1,black,a6+5,"Cannot resolve move=a6+5, side=black, candidates=[(0, 5)]"
57380820,1,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380821,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380822,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380823,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380824,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380826,3,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380827,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380829,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380830,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380831,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380832,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380833,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380834,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380835,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380836,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380837,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380838,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380839,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380840,2,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380841,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380842,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380843,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380844,2,black,a4+5,"Cannot resolve move=a4+5, side=black, candidates=[(0, 3)]"
57380845,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380846,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380847,1,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380848,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380849,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380850,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380851,2,red,A6+5,"Cannot resolve move=A6+5, side=red, candidates=[(9, 3)]"
57380852,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380853,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380855,1,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380856,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380857,1,red,A6+5,"Cannot resolve move=A6+5, side=red, candidates=[(9, 3)]"
57380858,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380859,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380860,2,black,h8+9,"Cannot resolve move=h8+9, side=black, candidates=[(0, 7)]"
57380861,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380862,1,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380863,1,black,a6+5,"Cannot resolve move=a6+5, side=black, candidates=[(0, 5)]"
57380864,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380865,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380866,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380867,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380868,2,red,H8+9,"Cannot resolve move=H8+9, side=red, candidates=[(9, 1)]"
57380869,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380870,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380871,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380873,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380874,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380875,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380876,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380877,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380878,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380879,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380880,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380881,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380882,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380883,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380884,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380885,1,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380886,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380887,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380888,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380889,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380890,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380891,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380892,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380893,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380894,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380895,1,red,A4+5,"Cannot resolve move=A4+5, side=red, candidates=[(9, 5)]"
57380896,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380897,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380898,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380899,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380900,2,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380901,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380902,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380903,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380904,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380905,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380906,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380907,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380908,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380909,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380910,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380911,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380912,2,black,a6+5,"Cannot resolve move=a6+5, side=black, candidates=[(0, 5)]"
57380913,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380914,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380915,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380916,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380917,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380918,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380919,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380920,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380921,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380922,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380923,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380924,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380925,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380926,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380927,2,black,a6+5,"Cannot resolve move=a6+5, side=black, candidates=[(0, 5)]"
57380928,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380929,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380930,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380931,1,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380932,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380933,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380934,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380935,2,black,a4+5,"Cannot resolve move=a4+5, side=black, candidates=[(0, 3)]"
57380936,2,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380937,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380938,1,red,A6+5,"Cannot resolve move=A6+5, side=red, candidates=[(9, 3)]"
57380939,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380940,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380941,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380942,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380943,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380944,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380945,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380946,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380947,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380948,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380949,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380950,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380951,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380952,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380953,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380954,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380955,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380956,1,black,a4+5,"Cannot resolve move=a4+5, side=black, candidates=[(0, 3)]"
57380957,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380958,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380959,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380960,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380961,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380962,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380963,1,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380964,1,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380965,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380966,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380967,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380968,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380969,1,black,h2+3,"Cannot resolve move=h2+3, side=black, candidates=[(0, 1)]"
57380970,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380972,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380973,1,black,a4+5,"Cannot resolve move=a4+5, side=black, candidates=[(0, 3)]"
57380974,1,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380975,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380976,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380977,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380978,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380979,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380980,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380981,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380982,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380983,2,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380984,1,black,e7+5,"Cannot resolve move=e7+5, side=black, candidates=[(0, 6)]"
57380985,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380986,1,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380987,1,red,A4+5,"Cannot resolve move=A4+5, side=red, candidates=[(9, 5)]"
57380988,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380989,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380990,1,red,H8+7,"Cannot resolve move=H8+7, side=red, candidates=[(9, 1)]"
57380991,1,red,E7+5,"Cannot resolve move=E7+5, side=red, candidates=[(9, 2)]"
57380992,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380993,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
57380994,2,red,E3+5,"Cannot resolve move=E3+5, side=red, candidates=[(9, 6)]"
57380995,1,black,e3+5,"Cannot resolve move=e3+5, side=black, candidates=[(0, 2)]"
57380996,1,black,h8+7,"Cannot resolve move=h8+7, side=black, candidates=[(0, 7)]"
57380997,2,red,H2+3,"Cannot resolve move=H2+3, side=red, candidates=[(9, 7)]"
